Date,Close,High,Low,Open,Volume,Stock,Adj Close
2020-07-14,682.1824340820312,702.3452684310176,680.5275815067354,690.6307940411988,8961822.0,INFY,
2020-07-15,723.7274780273438,738.9693465867283,692.2421111394763,695.9001702256123,30060599.0,INFY,
2020-07-16,793.4481811523438,832.2060780362947,778.8595345724297,783.9546525619442,90432109.0,INFY,
2020-07-17,786.611083984375,801.1997296141931,777.030480884196,793.4481294784624,31682878.0,INFY,
2020-07-20,813.7415161132812,823.0608399595206,789.7464726278258,791.2706593684916,18421053.0,INFY,
2020-07-21,815.8753662109375,827.154358420009,809.2995999387448,823.0608177948609,12877784.0,INFY,
2020-07-22,799.457763671875,817.8350802061377,792.577127782306,817.7915426441868,14354201.0,INFY,
2020-07-23,790.791748046875,797.6287939549853,784.4337216908973,797.4981812549976,13051307.0,INFY,
2020-07-24,803.76904296875,806.2948596340178,786.6981711741039,786.6981711741039,18209580.0,INFY,
2020-07-27,826.0657958984375,829.8544679404932,800.1110799754764,802.6368436170394,16827870.0,INFY,
2020-07-28,838.6075439453125,842.7010847807401,819.7512079884654,823.9318239474359,15818463.0,INFY,
2020-07-29,831.0302124023438,836.1253298674569,821.841500885121,830.2463236418263,11152710.0,INFY,
2020-07-30,837.3883056640625,847.1431125977414,835.0366923522814,837.8673252077128,12492320.0,INFY,
2020-07-31,841.35107421875,859.1622954797979,830.2898227560408,844.1817067148276,12704346.0,INFY,
2020-08-03,833.4253540039062,840.8285469480918,825.1947347458402,836.125320755078,8479792.0,INFY,
2020-08-04,827.2849731445312,845.4446009062772,819.1850201526869,836.5172216435673,11133170.0,INFY,
2020-08-05,822.799560546875,836.9527231234798,817.225370637554,829.1575860263284,9614176.0,INFY,
2020-08-06,845.5753173828125,848.6672818881982,820.8835110206543,830.4641143323012,10976491.0,INFY,
2020-08-07,828.1995849609375,844.3559545021349,826.5447323047797,844.3559545021349,8010948.0,INFY,
2020-08-10,828.5914916992188,833.3382556244732,823.3221706935072,826.457672654504,5716319.0,INFY,
2020-08-11,826.0657958984375,837.8673471732026,824.0189986536602,827.3287042989302,6802442.0,INFY,
2020-08-12,831.7269897460938,835.0801795086522,820.6221999835866,825.6737799887651,6908726.0,INFY,
2020-08-13,828.4608154296875,843.5284792332567,825.891461469216,831.5962639906402,5097703.0,INFY,
2020-08-14,830.551025390625,838.7381060488427,829.2010421861874,832.5106938627017,4663873.0,INFY,
2020-08-17,833.9479370117188,846.9688579917226,830.986638478145,830.986638478145,9008210.0,INFY,
2020-08-18,842.701171875,844.1382836778998,834.993162065247,839.5221853053023,6141761.0,INFY,
2020-08-19,835.5156860351562,846.1849941600091,833.9044240310892,845.6188995020971,6622744.0,INFY,
2020-08-20,831.9011840820312,840.915639115358,828.5479411966406,835.1672986824275,5656501.0,INFY,
2020-08-21,826.3704833984375,839.1301249589403,824.410814752181,838.7817181580623,6513773.0,INFY,
2020-08-24,825.1512451171875,829.1576579147726,818.0093302889788,824.8028382828674,5798574.0,INFY,
2020-08-25,817.0512084960938,826.2399201143072,813.1318709692636,825.2382903714615,6233918.0,INFY,
2020-08-26,828.1124267578125,831.1172627041618,817.3125067985687,819.7947325337095,5153601.0,INFY,
2020-08-27,824.8462524414062,836.95267047062,823.2349906824311,836.125244232466,6154280.0,INFY,
2020-08-28,814.5689697265625,829.5930966742055,812.6528385564291,828.6785952310149,7593610.0,INFY,
2020-08-31,808.777099609375,827.8512313051073,796.5836043560646,814.5690311184657,12808355.0,INFY,
2020-09-01,796.191650390625,814.3512259843709,794.4061319130727,806.7302920513621,6907773.0,INFY,
2020-09-02,804.7705688476562,806.8609032772595,795.6254487471147,796.9318944757634,5678118.0,INFY,
2020-09-03,814.8302001953125,826.8930811315855,804.7705785947608,806.9479881688808,8827948.0,INFY,
2020-09-04,800.5465087890625,809.5609641024442,796.4529677308403,796.9319872552302,8650342.0,INFY,
2020-09-07,805.68505859375,807.8624681100616,795.2334929154541,800.3286630792705,6700385.0,INFY,
2020-09-08,818.0963745117188,829.157626590769,806.1206209764005,809.9528833714692,12891964.0,INFY,
2020-09-09,808.0368041992188,823.931896278589,806.5126172874983,814.3512928334891,5528947.0,INFY,
2020-09-10,818.7495727539062,820.44796292688,805.4673737787099,814.6124943845828,5171884.0,INFY,
2020-09-11,823.670654296875,831.0303106292663,810.8674730380734,814.2642538559227,6671903.0,INFY,
2020-09-14,852.151123046875,863.1687847709663,825.9350770836934,833.5124738414082,21871587.0,INFY,
2020-09-15,855.678466796875,865.738088887986,846.2720676098545,853.1091127422357,11608203.0,INFY,
2020-09-16,872.4880981445312,875.8848786623677,855.286560896361,858.77041654156,10059251.0,INFY,
2020-09-17,880.5445556640625,889.2541951859622,866.6091324290229,866.6091324290229,15628241.0,INFY,
2020-09-18,872.83642578125,887.337941693032,870.179943565271,880.5444344331456,12897633.0,INFY,
2020-09-21,879.5865478515625,897.9638666323547,871.3994651461405,871.8349471377178,14140637.0,INFY,
2020-09-22,877.4962158203125,890.5606756092005,863.2995134816053,878.8026617992012,12625762.0,INFY,
2020-09-23,888.16552734375,903.1896561465738,878.018775613146,888.513934202947,13486204.0,INFY,
2020-09-24,849.5381469726562,878.8025106010567,844.8349209940783,873.5767275845985,14427432.0,INFY,
2020-09-25,880.9364624023438,883.9412985407854,849.1898170707385,849.8865775708102,13311078.0,INFY,
2020-09-28,880.0219116210938,885.0299538514527,869.65742035015,883.8541207365016,8554526.0,INFY,
2020-09-29,878.8025512695312,895.350864920791,874.5348070114925,886.64122615697,8708463.0,INFY,
2020-09-30,878.1492919921875,891.8234349169315,875.3186595111812,878.8025148724197,8048817.0,INFY,
2020-10-01,886.3363037109375,894.0443118282549,881.1975961931192,888.9056043104367,5563358.0,INFY,
2020-10-05,913.3797607421875,918.7798004849233,886.6847502327477,886.6847502327477,14212509.0,INFY,
2020-10-06,919.52001953125,923.22161563166,898.2684818321908,918.8667966900013,9090819.0,INFY,
2020-10-07,928.926513671875,933.673224008942,901.883044273563,910.0701255239738,9284008.0,INFY,
2020-10-08,952.5731811523438,978.9634300230256,947.957136243359,949.3506572287348,21482613.0,INFY,
2020-10-09,963.98291015625,969.6441756419626,948.0006371530527,953.7925684906646,10567867.0,INFY,
2020-10-12,986.0181884765625,992.8988244006493,968.5989108554985,978.092438422745,14633537.0,INFY,
2020-10-13,1008.4021606445312,1015.5876136368141,989.0232116653439,989.0232116653439,17523825.0,INFY,
2020-10-14,990.2859497070312,1014.5858636680948,985.1472414570976,1012.0600471060425,16649573.0,INFY,
2020-10-15,965.24560546875,1032.9630391030341,951.5279259865639,1027.7372564431537,44288251.0,INFY,
2020-10-16,982.0118408203125,989.3714435743123,955.3603655615958,970.1231617940635,18365685.0,INFY,
2020-10-19,980.6182250976562,992.0278303284492,971.3860295032295,988.5439749102633,12902123.0,INFY,
2020-10-20,990.72119140625,996.9920874089461,966.7696900755494,974.5212881336107,10448776.0,INFY,
2020-10-21,1000.171142578125,1005.3969247726226,988.54379845913,993.9002464722522,19811433.0,INFY,
2020-10-22,983.3618774414062,1008.5762409373028,978.7893167635817,994.6408179191708,11271335.0,INFY,
2020-10-23,988.1594848632812,999.163488035478,986.0907537591019,997.4028475279266,9069862.0,INFY,
2020-10-26,979.3123779296875,994.4098941575369,971.1254627537093,987.9395607630258,6309368.0,INFY,
2020-10-27,960.2972412109375,976.8912550141154,948.2368978002778,973.3699743148327,10172479.0,INFY,
2020-10-28,947.708984375,972.5339770575176,941.9869016858179,964.3910132306047,7608392.0,INFY,
2020-10-29,946.2122192382812,952.5065306511367,933.2274952760777,941.942687427649,6935616.0,INFY,
2020-10-30,933.667724609375,953.9150922883643,926.4050818549549,943.7033979076784,8800386.0,INFY,
2020-11-02,943.9676513671875,950.7020167684666,925.3047935513079,937.5412691669052,7183119.0,INFY,
2020-11-03,935.3844604492188,950.2178373234822,930.9387995567763,943.7034450353326,7204782.0,INFY,
2020-11-04,963.0262451171875,982.4373486186341,939.1256375241331,940.1819787855746,15702690.0,INFY,
2020-11-05,971.8735961914062,988.5996816331061,967.47199475938,977.0675073733918,9568890.0,INFY,
2020-11-06,979.5762939453125,986.9269460585514,961.0455109137039,975.3947730320434,8807127.0,INFY,
2020-11-09,1000.5281982421875,1008.8471830763543,986.9712425271491,994.1458753126033,10160320.0,INFY,
2020-11-10,960.4735717773438,980.5448115090674,948.9853480947723,980.5448115090674,15622869.0,INFY,
2020-11-11,988.1594848632812,991.5486963481242,956.908115854242,964.8309981382238,12514800.0,INFY,
2020-11-12,983.97802734375,1005.3257948795012,980.4567461007396,993.0893210678446,9180976.0,INFY,
2020-11-13,989.6561279296875,997.4029902558742,983.3178641798867,985.9588253191343,6363212.0,INFY,
2020-11-14,997.7990112304688,1003.257061622738,995.7302799965578,1000.9241913117424,1136144.0,INFY,
2020-11-17,989.2158813476562,1007.9667467831207,979.4884064775566,1007.7466667074038,12813968.0,INFY,
2020-11-18,977.6397094726562,997.1387172976902,969.6287091235797,993.4414151834775,9839468.0,INFY,
2020-11-19,965.4913940429688,981.293102162355,962.8944918598894,968.3524353291685,10092343.0,INFY,
2020-11-20,971.3013916015625,976.2752228404198,960.5174678145515,973.6342619129886,8063554.0,INFY,
2020-11-23,1003.4332275390625,1007.790878174103,970.0690615205804,972.7540818349283,10546363.0,INFY,
2020-11-24,1003.6091918945312,1016.6819267387391,997.710981461456,1007.9667343556094,8515426.0,INFY,
2020-11-25,982.1292114257812,1006.6461064752027,978.2557812160638,1000.9240254152213,8958701.0,INFY,
2020-11-26,979.972412109375,985.9145735106353,966.8557269849931,985.9145735106353,10962256.0,INFY,
2020-11-27,968.3523559570312,986.8390827525747,960.4294730446555,984.1981217817827,25306145.0,INFY,
2020-12-01,1001.6724853515625,1003.7852756765791,972.7980424462677,972.7980424462677,8933802.0,INFY,
2020-12-02,1004.3573608398438,1010.1233938062726,986.8389669635521,998.2831298275363,6741637.0,INFY,
2020-12-03,991.6369018554688,1009.7275296118999,988.3357002547323,1009.7275296118999,16212632.0,INFY,
2020-12-04,998.85546875,1000.924200001872,981.5571530361366,990.36035620238,10564055.0,INFY,
2020-12-07,1006.6463623046875,1015.0094059792783,1000.0439594036948,1009.9916227589177,7792141.0,INFY,
2020-12-08,1015.3173828125,1027.3337762375502,1007.9667298988817,1007.9667298988817,12308330.0,INFY,
2020-12-09,1034.5523681640625,1038.3377884186514,1018.5305817722591,1028.2581640207657,10039346.0,INFY,
2020-12-10,1027.9940185546875,1031.4272891775722,1012.3683334085982,1018.8827250462048,9488782.0,INFY,
2020-12-11,1023.9883422851562,1031.6911434982826,1016.9898401673262,1020.9072217999058,10574009.0,INFY,
2020-12-14,1025.1771240234375,1032.2636384849482,1010.7838000872065,1029.4466563014007,6728187.0,INFY,
2020-12-15,1016.417724609375,1024.428617277518,1014.1289134843294,1017.6501944339277,6905926.0,INFY,
